Step,ElectorateID,Run_number,Belieftree,Affiliation
0,0,17,"[[-0.24497500000000008, 0.0366, 0.21919416675856798], [-0.0030166666666664455, 1, 0.78080583324143193], [-0.32862499999999994, 1, 0.8815138362867333], [-0.75869833333333325, -0.60369, 0.10284466314654576], [0.19183500000000001, 0.21541, 0.015641500566721027], [-0.30463666666666667, -0.48782, 0.059209817484431222], [-0.10791499999999998, 0.88086, 0.31959887516969421], [0.84599499999999983, 0.27597, 0.18424752731268984], [0.43439999999999995, -0.3936, 0.26763203827008858], [-0.39516333333333331, -0.91898, 0.1693117417630961]]",0
0,1,17,"[[-0.13376599999999994, 0.95514, 0.84466450194623155], [-0.17281199999999999, 0.02744, 0.15533549805376842], [-0.44758066666666685, 0.50642, 0.30695120658981528], [-0.55585333333333342, 0.96415, 0.48906344983742966], [0.089583999999999997, -0.5444, 0.20398534357275508], [-0.11059866666666662, 0.91251, 0.42421509193944251], [-0.24521399999999993, 0.14775, 0.16293602509693436], [0.93558399999999997, 0.77688, 0.06580398949263512], [0.65333333333333332, 1, 0.1437396013382157], [-0.21496533333333345, 0.27536, 0.20330529213277232]]",1
0,2,17,"[[-0.1711609999999999, 1, 0.52614363229098438], [-0.086422999999999917, 0.96835, 0.47385636770901568], [-0.43949799999999994, 0.95417, 0.62734008807360264], [-0.77900099999999994, -0.68271, 0.043344042067906569], [0.26840799999999998, 1, 0.32931586985849082], [-0.33123999999999998, -0.9004, 0.11930747331900789], [-0.295159, -0.20056, 0.019829867995826884], [0.76696900000000001, -0.97031, 0.3641688944060944], [0.44000000000000017, -1, 0.30185318992791371], [-0.18712300000000004, 0.74237, 0.19484057435115715]]",2
1,0,17,"[[-0.3018541666666667, 0.0366, 0.21319630416695468], [-0.24906944444444437, 1, 0.78680369583304532], [-0.73410416666666678, 1, 0.88368687508537447], [-0.83069972222222221, -0.60369, 0.11568250391218586], [0.21417249999999999, 0.21541, 0.00063062100243967644], [-0.26743944444444445, -0.48782, 0.057255954765074994], [-0.5563191666666667, 0.88086, 0.37338623250376179], [0.94099916666666661, 0.27597, 0.17277785595981682], [0.57240000000000002, -0.3936, 0.25097156218539246], [-0.35852722222222222, -0.91898, 0.14560839458595395]]",0
1,1,17,"[[-0.28930146666666667, 0.95514, 0.80109148403668329], [-0.28155093333333331, 0.02744, 0.19890851596331666], [-0.76618408888888889, 0.50642, 0.335857390250489], [-0.80653377777777779, 0.96415, 0.46730734071627228], [0.20143253333333333, -0.5444, 0.19683526903323878], [-0.24007982222222221, 0.91251, 0.37494173449272922], [-0.59256186666666666, 0.14775, 0.24082618985683976], [0.95674453333333331, 0.77688, 0.058510598307819302], [0.60711111111111105, 1, 0.12780820949720254], [-0.33303537777777781, 0.27536, 0.19791326784540922]]",1
1,2,17,"[[-0.29902309999999999, 1, 0.51052849016654722], [-0.27709430000000002, 0.96835, 0.48947150983345278], [-0.77762979999999993, 0.95417, 0.6500840045419547], [-0.83849010000000002, -0.68271, 0.058476823496541666], [0.2236168, 1, 0.29143917196150348], [-0.26712400000000003, -0.9004, 0.11276681433749498], [-0.61091589999999996, -0.20056, 0.073071658467391248], [0.94069689999999995, -0.97031, 0.34029105838524093], [0.58399999999999996, -1, 0.28206127172132228], [-0.33479230000000004, 0.74237, 0.19180919708855076]]",2
2,0,17,"[[-0.34743402777777777, 0.0366, 0.22069285787544746], [-0.3560949074074074, 1, 0.77930714212455254], [-0.89405902777777779, 1, 0.85984474038155068], [-0.87524162037037034, -0.60369, 0.12327611182820288], [0.17822874999999999, 0.21541, 0.016879147790246404], [-0.31957324074074078, -0.48782, 0.039083991763187435], [-0.77105319444444442, 0.88086, 0.38374208198375254], [0.95683319444444437, 0.27597, 0.15816561103871404], [0.89539999999999997, -0.3936, 0.29943676540667785], [-0.40425453703703701, -0.91898, 0.11957154980766828]]",0
2,1,17,"[[-0.34758352888888888, 0.95514, 0.76862725927544051], [-0.36470679111111109, 0.02744, 0.23137274072455943], [-0.90473454518518526, 0.50642, 0.35558011323417299], [-0.87380117037037031, 0.96415, 0.46312353775072407], [0.17509233777777777, -0.5444, 0.18129634901510286], [-0.318010642962963, 0.91251, 0.39559863057840761], [-0.78447491555555549, 0.14775, 0.29969988889975036], [0.95956593777777777, 0.77688, 0.058731486728090823], [0.91294814814814806, 1, 0.027986197207537266], [-0.40268471703703701, 0.27536, 0.21798379658621389]]",1
2,2,17,"[[-0.35079730999999997, 1, 0.50278936990979184], [-0.36745942999999998, 0.96835, 0.49721063009020811], [-0.91120798000000003, 0.95417, 0.64636434940648801], [-0.87958400999999997, -0.68271, 0.068217992681942341], [0.17629767999999998, 1, 0.28541765791156964], [-0.32371240000000001, -0.9004, 0.093488991133060209], [-0.79369159, -0.20056, 0.0961547880659267], [0.95806968999999997, -0.97031, 0.3126168687164132], [0.9224, -1, 0.31164747872885595], [-0.40553922999999997, 0.74237, 0.18609187335574406]]",2
3,0,17,"[[-0.36280567129629626, 0.0366, 0.22267906711867286], [-0.39423248456790122, 1, 0.77732093288132709], [-0.96080150462962965, 1, 0.85308234308184272], [-0.89770693672839508, -0.60369, 0.12791741371974416], [0.17173812500000002, 0.21541, 0.019000243198413116], [-0.36576220679012345, -0.48782, 0.027712539009022995], [-0.88573386574074076, 0.88086, 0.40109525274851177], [0.95947219907407399, 0.27597, 0.15518534995978103], [0.97923333333333329, -0.3936, 0.31169412703922794], [-0.45954242283950619, -0.91898, 0.10431273124345615]]",0
