,Agenda_issue,Belieftruth_tree,Burnt,Camp_site,Chosen_instrument,Empty,Firefighters,Prevention,Run_number,Thick_forest,Thin_forest
0,3,"[-0.30041, -0.18113, -0.5279, -0.76645, 0.16564, -0.226, -0.20167, 0.96, 0.6, -0.288]",634,774,,3560,0.1,0.002,16,2349,2395
1,3,"[-0.31164, -0.27769, -0.7641, -0.832, 0.20872, -0.255, -0.55233, 0.96, 0.6, -0.3464]",2716,745,15.0,3268,0.1,0.002,16,1125,1343
2,3,"[-0.35607, -0.37014, -0.9032, -0.87505, 0.16292, -0.305, -0.76867, 0.96, 0.96, -0.4076]",4582,695,15.0,2962,0.009999999999999995,0.002,16,414,694
3,3,"[-0.36414, -0.39609, -0.9699, -0.906, 0.17772, -0.409, -0.90633, 0.96, 0.996, -0.463]",5968,591,15.0,2685,0.0009999999999999992,0.002,16,107,281
4,3,"[-0.35282, -0.38314, -0.92285, -0.8622, 0.15656, -0.126, -0.61967, 0.96, 0.9996, -0.2768]",3954,874,15.0,3616,9.999999999999994e-05,0.002,16,134,1141
5,3,"[-0.35068, -0.3945, -0.90945, -0.8218, 0.12045, 0.16, -0.48033, 0.96, 0.99996, -0.181]",2822,1160,12.0,4095,9.999999999999986e-06,0.002,16,84,1559
6,2,"[-0.354, -0.41185, -0.91465, -0.79895, 0.09096, 0.32, -0.492, 0.944, 1.0, -0.157]",2494,1320,12.0,4215,9.99999999999999e-07,0.0028,16,61,1524
7,2,"[-0.35183, -0.40999, -0.93105, -0.81475, 0.11108, 0.222, -0.57933, 0.9296, 1.0, -0.1444]",2758,1222,12.0,4278,9.999999999999989e-08,0.00352,16,39,1262
8,2,"[-0.35591, -0.41674, -0.9526, -0.83095, 0.11913, 0.12, -0.705, 0.91664, 1.0, -0.1968]",3517,1120,12.0,4016,9.999999999999984e-09,0.004168,16,21,885
9,2,"[-0.35263, -0.40768, -0.94135, -0.83125, 0.126, 0.092, -0.708, 0.90498, 1.0, -0.1632]",3375,1092,12.0,4184,9.999999999999974e-10,0.0047512,16,99,876
10,2,"[-0.35152, -0.40617, -0.93685, -0.82755, 0.1245, 0.12, -0.668, 0.89448, 1.0, -0.1342]",3089,1120,12.0,4329,9.999999999999976e-11,0.00527608,16,89,996
11,2,"[-0.35232, -0.41172, -0.93165, -0.81285, 0.10821, 0.218, -0.63333, 0.88503, 1.0, -0.1082]",2769,1218,12.0,4459,9.999999999999978e-12,0.005748472,16,89,1100
12,2,"[-0.35187, -0.41214, -0.9362, -0.81565, 0.11191, 0.207, -0.64067, 0.87653, 1.0, -0.0968]",2742,1207,12.0,4516,9.999999999999982e-13,0.0061736248,16,66,1078
13,2,"[-0.35261, -0.41328, -0.94565, -0.8243, 0.11909, 0.157, -0.68067, 0.86887, 1.0, -0.1078]",3028,1157,12.0,4461,9.999999999999978e-14,0.006556262320000001,16,43,958
14,2,"[-0.35538, -0.42118, -0.94125, -0.80965, 0.09888, 0.246, -0.67733, 0.86199, 1.0, -0.1078]",2929,1246,12.0,4461,9.99999999999997e-15,0.0069006360880000004,16,69,968
15,2,"[-0.35516, -0.41814, -0.9414, -0.81545, 0.10512, 0.2, -0.70033, 0.85579, 1.0, -0.112]",2960,1200,12.0,4440,9.999999999999973e-16,0.0072105724792,16,91,899
16,2,"[-0.35203, -0.40698, -0.9438, -0.8339, 0.12984, 0.08, -0.70733, 0.85021, 1.0, -0.1046]",3066,1080,12.0,4477,9.999999999999965e-17,0.00748951523128,16,82,878
17,2,"[-0.34993, -0.40302, -0.94445, -0.83825, 0.1384, 0.06, -0.68467, 0.84519, 1.0, -0.0822]",2966,1060,12.0,4589,9.999999999999965e-18,0.0077405637081519995,16,55,946
18,2,"[-0.35242, -0.41019, -0.9472, -0.83165, 0.12681, 0.105, -0.7, 0.84067, 1.0, -0.0912]",3036,1105,12.0,4544,9.999999999999962e-19,0.0079665073373368,16,52,900
